comid,huc8_from,huc8_to
5239872,10190001,10190002
5251561,10190014,10190012
5333489,10090101,10090102
5372103,10090205,10090202
5377442,10090206,10090207
5387967,10090207,10090209
5402029,10120101,10120103
5406857,10120102,10120103
5414159,10120103,10120106
5424219,10120104,10120106
5479725,10120203,10120202
5596882,10120105,10120104
5826949,10290109,10290111
5924798,10250016,10250017
5932794,10250017,10270101
5945295,10260013,10260014
5957163,10260014,10260015
5970820,10280103,10300101
5991311,10290111,10300102
6003372,10300103,10300102
6010092,10300200, 
7184582,10070005,10070004
7194807,10070007,10100001
7227390,10170203,10230001
7242977,10170204,10170203
7268897,10200101,10200103
7287526,10200102,10200103
7301390,10200103,10200201
7312537,10240001,10240005
7319298,10260007,10260006
7331754,10260009,10260010
7367079,10290104,10290103
7370985,10290106,10290105
7387111,10290107,10290105
7404201,10290110,10290109
7434875,10290201,10290203
7439451,10290202,10290203
7443283,10290203,10300200
7499934,10300104,10300103
8163050,10250014,10250011
8164572,10250012,10250014
8176015,10250013,10250014
8180465,10250010,10250011
9372556,10170201,10170202
9376710,10170202,10170203
9390431,10120107,10120106
9557579,10120108,10120106
9557665,10120106,10120109
9570389,10090208,10090209
9587460,10090202,10090207
9593990,10090201,10090202
9594066,10090204,10090202
9594112,10090203,10090202
9781749,10110202,10110201
9788742,10110201,10110203
9814189,10100005,10100004
9823848,10090209,10100004
10119338,10290101,10290102
10900941,10120201,10120202
11446173,10160004,10160003
11463182,10160002,10160003
11479108,10160003,10160006
11543354,10140103,10140101
11546754,10140104,10140101
11547666,10140105,10140101
11547796,10140204, 
11550820,10140101,10170101
11645899,10150007,10170101
11661216,10150006,10150007
11673184,10150001,10170101
11697862,10250003,10250004
11713865,10250002,10250004
11720855,10250001,10250002
11764402,10170101,10230001
12286164,10050016,10050012
12290654,10050015,10050012
12296626,10050014,10050012
12304265,10050013,10050004
12306777,10050004,10050012
12308441,10050012,10060001
12316656,10050011,10050004
12319297,10050005,10050004
12341482,10050002,10050004
12346881,10050001,10050002
12350559,10040104,10060001
12360391,10040205,10040104
12375857,10040103,10040101
12408556,10030104,10030102
12416221,10030103,10030102
12463798,10060001,10060005
12472078,10050008,10050004
12474064,10050007,10050004
12478286,10050006,10050005
12482031,10040105,10040104
12491957,10030105,10030102
12507277,10040106,10040105
12517458,10060003,10060005
12521345,10050010,10050004
12523373,10060002,10060005
12532554,10050009,10050004
12539924,10030201,10030203
12556802,10160007,10160008
12559212,10160008,10160006
12577644,10160001,10160003
12594894,10060004,10060003
12599881,10040203,10040205
12604775,10040202,10040205
